,sentence,start,end
92,"If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town! #NeverHillary",10645,10778
93,"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",10779,10914
94,"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD #NeverHillary",10915,11054
95,Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!,11055,11192
96,Join @mike_pence at the University of Northwestern Ohio- tonight at 7pm. Tickets: https://t.co/DvP8p7ueNU,11193,11298
97,"""@AnnCoulter: ""I believe in science"" Dem code for ""we're shutting down coal mines, steel plants and any other remaining manufacturing""""",11299,11434
98,CAMPAIGN STATEMENT: https://t.co/RNW3ED2ifR,11435,11478
99,"Two policemen just shot in San Diego, one dead. It is only getting worse. People want LAW AND ORDER!",11479,11579
100,"Crooked Hillary Clinton made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!",11580,11713
101,The media coverage this morning of the very average Clinton speech and Convention is a joke. @CNN and the little watched @Morning_Joe = SAD!,11714,11854
102,No one has worse judgement than Hillary Clinton - corruption and devastation follows her wherever she goes.,11855,11962
103,"Hillary's wars in the Middle East have unleashed destruction, terrorism and ISIS across the world.",11963,12061
104,"Hillary's vision is a borderless world where working people have no power, no jobs, no safety.",12062,12156
105,Hillary will never reform Wall Street. She is owned by Wall Street!,12157,12224
106,Our way of life is under threat by Radical Islam and Hillary Clinton cannot even bring herself to say the words.,12225,12337
107,"Hillary's refusal to mention Radical Islam, as she pushes a 550% increase in refugees, is more proof that she is unfit to lead the country.",12338,12477
108,"Departing now - thank you Cedar Rapids, Iowa. This is a MOVEMENT! https://t.co/ezrqVqPtta",12478,12567
109,#CrookedHillary https://t.co/JeXFnO6e3s,12568,12607
110,"""Dems warn not to underestimate Trump's potential win"" https://t.co/X3xHtjhHpB",12608,12686
111,Great to be back in Iowa! #TBT with @JerryJrFalwell joining me in Davenport- this past winter. #MAGA https://t.co/A5IF0QHnic,12687,12811
112,Median household income is down for the middle class since Obama took office. It will only go further down under Clinton.,12812,12933
113,"A vote for Clinton-Kaine is a vote for TPP, NAFTA, high taxes, radical regulation, and massive influx of refugees.",12934,13048
114,AMERICA'S FUTURE https://t.co/xymiA0Az7x,13049,13089
115,Bernie caved! https://t.co/xtcOnA8cw1,13090,13127
116,"""@LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart https://t.co/bVAj52fA3Y @realdonaldtrump"" Great!",13128,13261
117,"Good morning! Join me in Lima, Ohio - tomorrow evening at 7pm. #MAGA Tickets: https://t.co/sNfhyGeaAH",13262,13363
118,"Trump makes a funny, obvious joke about Russia going after Hillary's emails &amp; U.S. media goes insane with fury. He plays them so easily....",13364,13507
119,Obama Refers to Himself 119 Times During Hillary Nominating Speech... https://t.co/TyJI2DuqEk,13508,13601
120,President Obama spoke last night about a world that doesn’t exist. 70% of the people think our country is going in the wrong direction. #DNC,13602,13742
121,"""@trumplican2016: @realDonaldTrump @DavidWohl stay the course mr trump your message is resonating with the PEOPLE""",13743,13857
122,"""@DavidWohl: Barack is offended that @realDonaldTrump will demand that #NATO allies pay their fair share. #DemsInPhilly""",13858,13978
123,"Our country does not feel 'great already' to the millions of wonderful people living in poverty, violence and despair.",13979,14097
124,Shooting deaths of police officers up 78% this year. We must restore law and order and protect our great law enforcement officers!,14098,14228
125,"Join me live in Toledo, Ohio! #MakeAmericaGreatAgain https://t.co/ruEvMGx4C9",14229,14305
126,#CrookedHillary https://t.co/lwi9gqDEHE,14306,14345
127,Thank you Pennsylvania! #MakeAmericaGreatAgain https://t.co/bbv3EhGs5x https://t.co/bbroAGTdMw,14346,14440
128,Thank you to our amazing law enforcement officers! #MAGA https://t.co/UEZorOQhTw,14441,14521
129,"""Trump right: Illegal families crossing border set to double, 51,152 so far"" https://t.co/1noCe9W6Ru",14522,14622
130,Great new poll - thank you! #MakeAmericaGreatAgain https://t.co/mXovx0TLPC,14623,14697
131,"If Russia or any other country or person has Hillary Clinton's 33,000 illegally deleted emails, perhaps they should share them with the FBI!",14698,14838
132,"Join our next Vice President, @Mike_Pence in Wisconsin tonight &amp; Michigan Thursday! MI: https://t.co/daR2xIhCEs WI: https://t.co/LKc7e4VZkB",14839,14982
133,Not one American flag on the massive stage at the Democratic National Convention until people started complaining-then a small one. Pathetic,14983,15123
134,"Our not very bright Vice President, Joe Biden, just stated that I wanted to ""carpet bomb"" the enemy. Sorry Joe, that was Ted Cruz!",15124,15254
135,Crooked Hillary Clinton wants to flood our country with Syrian immigrants that we know little or nothing about. The danger is massive. NO!,15255,15393
136,Hopefully the violent and vicious killing by ISIS of a beloved French priest is causing people to start thinking rationally. Get tough!,15394,15529
137,The Democratic Convention has paid ZERO respect to the great police and law enforcement professionals of our country. No recognition - SAD!,15530,15669
138,"Funny how the failing @nytimes is pushing Dems narrative that Russia is working for me because Putin said ""Trump is a genius."" America 1st!",15670,15809
139,"As I have been saying, Crooked Hillary will approve the job killing TPP after the election, despite her statements to the contrary: top adv.",15810,15950
140,"Just like I have warned from the beginning, Crooked Hillary Clinton will betray you on the TPP. https://t.co/eoNTWK6I8y",15951,16070
141,Many of Bernie's supporters have left the arena. Did Bernie go home and go to sleep?,16071,16155
142,"I hate to say it, but the Republican Convention was far more interesting (with a much more beautiful set) than the Democratic Convention!",16156,16293
143,"No matter what Bill Clinton says and no matter how well he says it, the phony media will exclaim it to be incredible. Highly overrated!",16294,16429
144,"You have no idea what my strategy on ISIS is, and neither does ISIS (a good thing). Please get your facts straight - thanks. @megynkelly",16430,16566
145,"For the record, I have ZERO investments in Russia.",16567,16617
146,"In order to try and deflect the horror and stupidity of the Wikileakes disaster, the Dems said maybe it is Russia dealing with Trump. Crazy!",16618,16758
147,Dems don't want to talk ISIS b/c Hillary's foreign interventions unleashed ISIS &amp; her refugee plans make it easier for them to come here.,16759,16900
148,"Bernie's exhausted, he just wants to shut down and go home to bed!",16901,16967
149,The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar!,16968,17105
150,Thank you New Hampshire! #MakeAmericaGreatAgain https://t.co/KRCdV77BQp,17106,17177
151,"Join us in Toledo, Ohio- tomorrow night at 8pm! #TrumpPence16 #MAGA Tickets: https://t.co/ERNRrksikq https://t.co/zmGZauCnQF",17178,17302
152,"Join us tomorrow in Scranton, Pennsylvania at 3pm! #TrumpPence16 #MAGA Tickets: https://t.co/4FTydj8s9U https://t.co/7zMKhhMmhp",17303,17430
153,Pocahontas bombed last night! Sad to watch.,17431,17474
154,"Why aren't the Democrats speaking about ISIS, bad trade deals, broken borders, police and law and order. The Republican Convention was great",17475,17615
155,"Funny, if you listen to @FoxNews, the Democrats did not have a good day. If you listen to the other two, they are fawning. What a difference",17616,17756
156,"Bernie Sanders totally sold out to Crooked Hillary Clinton. All of that work, energy and money, and nothing to show for it! Waste of time.",17757,17895
157,"Elizabeth Warren, often referred to as Pocahontas, just misrepresented me and spoke glowingly about Crooked Hillary, who she always hated!",17896,18034
158,Sad to watch Bernie Sanders abandon his revolution. We welcome all voters who want to fix our rigged system and bring back our jobs.,18035,18167
159,"If Cory Booker is the future of the Democratic Party, they have no future! I know more about Cory than he knows about himself.",18168,18294
160,I was at @FoxNews and met Juan Williams in passing. He asked if he could have pictures taken with me. I said fine. He then trashes on air!,18295,18433
161,"Hard to believe that Bernie Sanders has done such a complete fold. He got NOTHING for all of the time, energy and money. The V.P. a joke!",18434,18571
162,"While Bernie has totally given up on his fight for the people, we welcome all voters who want a better future for our workers.",18572,18698
163,"Clinton betrayed Bernie voters. Kaine supports TPP, is in pocket of Wall Street, and backed Iraq War.",18699,18800
164,Thank you OHIO! #TrumpPence16 https://t.co/NOF9Td9BHs https://t.co/WPMBkYjuIm,18801,18878
165,"Thank you Roanoke, Virginia- be back soon! #TrumpPence16 https://t.co/rwxXhfFsn1 https://t.co/HwqI2iGPDu",18879,18983
166,MAKE AMERICA SAFE AND GREAT AGAIN! #TrumpPence16 https://t.co/4O4yjh7X4O https://t.co/cptBaZbV1v,18984,19080
167,#MakeAmericaGreatAgain https://t.co/EXsoUOsEP4 https://t.co/3ji7a14GSw,19081,19151
168,"Great POLL numbers are coming out all over. People don't want another four years of Obama, and Crooked Hillary would be even worse. #MAGA",19152,19289
169,The State of Florida is so embarrassed by the antics of Crooked Hillary Clinton and Debbie Wasserman Schultz that they will vote for CHANGE!,19290,19430
170,"Wow, the Republican Convention went so smoothly compared to the Dems total mess. But fear not, the dishonest media will find a good spinnnn!",19431,19571
171,"Here we go again with another Clinton scandal, and e-mails yet (can you believe). Crooked Hillary knew the fix was in, B never had a chance!",19572,19712
172,"Crooked Hillary Clinton knew everything that her ""servant"" was doing at the DNC - they just got caught, that's all! They laughed at Bernie.",19713,19852
173,"If Bernie Sanders, after seeing the just released e-mails, continues to look exhausted and done, then his legacy will never be the same.",19853,19989
174,Thank you! #MakeAmericaGreatAgain https://t.co/Pzs9uwgzam,19990,20047
175,Hillary was involved in the e-mail scandal because she is the only one with judgement so bad that such a thing could have happened!,20048,20179
176,"How much BAD JUDGEMENT was on display by the people in DNC in writing those really dumb e-mails, using even religion, against Bernie!",20180,20313
177,"The new joke in town is that Russia leaked the disastrous DNC e-mails, which should never have been written (stupid), because Putin likes me",20314,20454
178,Watched Crooked Hillary Clinton and Tim Kaine on 60 Minutes. No way they are going to fix America's problems. ISIS &amp; all others laughing!,20455,20596
179,"The ratings for the Republican National Convention were very good, but for the final night, my speech, great. Thank you!",20597,20717
180,"The highly neurotic Debbie Wasserman Schultz is angry that, after stealing and cheating her way to a Crooked Hillary victory, she's out!",20718,20854
181,The Democrats are in a total meltdown but the biased media will say how great they are doing! E-mails say the rigged system is alive &amp; well!,20855,20999
182,"Even though Bernie Sanders has lost his energy and his strength, I don't believe that his supporters will let Crooked Hillary off the hook!",21000,21139
183,"Crooked Hillary Clinton was not at all loyal to the person in her rigged system that pushed her over the top, DWS. Too bad Bernie flamed out",21140,21280
184,"If the Republican Convention had blown up with e-mails, resignation of boss and the beat down of a big player. (Bernie), media would go wild",21281,21421
185,"The @CNN panels are so one sided, almost all against Trump. @FoxNews is so much better and the ratings are much higher. Don't watch CNN!",21422,21558
186,"I always said that Debbie Wasserman Schultz was overrated. The Dems Convention is cracking up and Bernie is exhausted, no energy left!",21559,21693
187,"Today proves what I have always known, that @Reince Priebus is the tough one and the smart one, not Debbie Wasserman Shultz (@DWStweets.)",21694,21831
188,"Sorry folks, but Bernie Sanders is exhausted, just can't go on any longer. He is trying to dismiss the new e-mails and DNC disrespect. SAD!",21832,21971
189,"There is no longer a Bernie Sanders ""political revolution."" He is turning out to be a weak and somewhat pathetic figure,wants it all to end!",21972,22112
190,An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.,22113,22232
191,"Looks like the Bernie people will fight. If not, their BLOOD, SWEAT AND TEARS was a total waste of time. Kaine stands for opposite!",22233,22364
192,"Wow, President Obama's brother, Malik, just announced that he is voting for me. Was probably treated badly by president-like everybody else!",22365,22505
193,"Bernie Sanders started off strong, but with the selection of Kaine for V.P., is ending really weak. So much for a movement! TOTAL DISRESPECT",22506,22646
194,The Crooked Hillary V.P. choice is VERY disrespectful to Bernie Sanders and all of his supporters. Just another case of BAD JUDGEMENT by H!,22647,22786
195,#MakeAmericaGreatAgain #TrumpPence16 https://t.co/gCzHX1nyxD,22787,22847
196,"""@NancyNielsenn: @realDonaldTrump Dinesh D'Sousa Hillary's America. see it""",22848,22923
197,"""@OliMauritania: @realDonaldTrump Kaine supported the stupidest deal in the history of deals https://t.co/0FFeKTsuJn #HillaryKaine2016""",22924,23059
198,Thank you to everyone for the wonderful reviews of my speech on Thursday night. From the heart!,23060,23155
199,"The Wikileaks e-mail release today was so bad to Sanders that it will make it impossible for him to support her, unless he is a fraud!",23156,23290
200,Just saw Crooked Hillary and Tim Kaine together. ISIS and our other enemies are drooling. They don't look presidential to me!,23291,23416
201,I will bring jobs back and get wages up. People haven't had a real wage increase in almost twenty years. Clinton killed jobs!,23417,23542
202,Tim Kaine has been praising the Trans Pacific Partnership and has been pushing hard to get it approved. Job killer!,23543,23658
203,Funny that the Democrats would have their convention in Pennsylvania where her husband and her killed so many jobs. I will bring jobs back!,23659,23798
204,Crooked Hillary Clinton has destroyed jobs and manufacturing in Pennsylvania. Against steelworkers and miners. Husband signed NAFTA.,23799,23931
205,"Leaked e-mails of DNC show plans to destroy Bernie Sanders. Mock his heritage and much more. On-line from Wikileakes, really vicious. RIGGED",23932,24072
206,"Pocahontas wanted V.P. slot so badly but wasn't chosen because she has done nothing in the Senate. Also, Crooked Hillary hates her!",24073,24204
207,"Tim Kaine is, and always has been, owned by the banks. Bernie supporters are outraged, was their last choice. Bernie fought for nothing!",24205,24341
208,"The Bernie Sanders supporters are furious with the choice of Tim Kaine, who represents the opposite of what Bernie stands for. Philly fight?",24342,24482
209,"""@Theresa_Cali: @realDonaldTrump General Michael Flynn will make a great Secretary of Defense when you become POTUS! #MakeAmericaSafeAgain""",24483,24622
210,I highly recommend the just out book - THE FIELD OF FIGHT - by General Michael Flynn. How to defeat radical Islam.,24623,24737
211,Is it the same Kaine that took hundreds of thousands of dollars in gifts while Governor of Virginia and didn't get indicted while Bob M did?,24738,24878
212,"Another attack, this time in Germany. Many killed. God bless the people of Munich.",24879,24961
213,"One of the best produced, including the incredible stage &amp; set, in the history of conventions. Great unity! Big T.V. ratings! @KarlRove",24962,25101
214,Thank you Cleveland. We love you and will be back many times!,25102,25163
215,What a great four days in Cleveland. So proud of the great job done by the RNC and all. The police and Secret Service were fantastic!,25164,25297
216,MAKE AMERICA SAFE AND GREAT AGAIN! #RNCinCLE https://t.co/KH2ZFHUHGP,25298,25366
217,FORMAL ACCEPTANCE OF THE NOMINATION! #TrumpPence16 https://t.co/E6ZtVjSQZa,25367,25441
218,You can watch 360 video live from the podium! https://t.co/yqcIsBUdAi #RNCinCLE #TrumpIsWithYou #MakeAmericaGreatAgain,25442,25560
219,This is a MOVEMENT! #RNCinCLE https://t.co/bdox6JcrAp,25561,25614
220,Thank you @DonaldJTrumpJr. Proud of you! #RNCinCLE #TrumpPence2016 https://t.co/gobSNWughP,25615,25705
221,Great job @IvankaTrump! #RNCinCLE https://t.co/swsAKE11F0,25706,25763
222,"Other than a small group of people who have suffered massive and embarrassing losses, the party is VERY united. Great love in the arena!",25764,25900
223,"Ted Cruz talks about the Constitution but doesn't say that if the Dems win the Presidency, the new JUSTICES appointed will destroy us all!",25901,26039
224,"I am soooo proud of my children, Don, Eric and Tiffany - their speeches, under enormous pressure, were incredible. Ivanka intros me tonight!",26040,26180
225,Great job @EricTrump! Proud of you! #AmericaFirst #RNCinCLE https://t.co/S7IHXDrmsJ,26181,26264
226,MAKE AMERICA GREAT AGAIN! https://t.co/qL9rjb7OsD,26265,26314
227,"Arena was packed, totally electric!",26315,26350
228,.@mike_pence was fantastic tonight. Will be a great V.P.,26351,26407
229,"Our next Vice President of the United States of America, Gov. @Mike_Pence! #GOPinCLE #GOPConvention #AmericaFirst https://t.co/TZT3XcKp1c",26408,26545
230,"Wow, Ted Cruz got booed off the stage, didn't honor the pledge! I saw his speech two hours early but let him speak anyway. No big deal!",26546,26681
231,Great job @EricTrump! Proud of you! #AmericaFirst #RNCinCLE https://t.co/EE7C6XKDkt https://t.co/946U6bgREQ,26682,26789
232,Thank you @ScottWalker! #AmericaFirst #RNCinCLE https://t.co/k2Poy3gGvQ,26790,26861
233,Thank you to Governor @ScottWalker for such warm support. Great speech!,26862,26933
234,Thank you @IngrahamAngle! #AmericaFirst https://t.co/cv3I3xRSOK,26934,26997
235,#AmericaFirst #RNCinCLE https://t.co/PvdTA8HTCC,26998,27045
236,Watching the #GOPConvention #AmericaFirst #RNCinCLE,27046,27097
237,John Kasich was never asked by me to be V.P. Just arrived in Cleveland - will be a great two days!,27098,27196
238,STATEMENT ON MELANIA SPEECH https://t.co/uzBOm21Pug,27197,27248
239,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,27249,27366
240,Good news is Melania's speech got more publicity than any in the history of politics especially if you believe that all press is good press!,27367,27507
241,"In November, I think the people of Ohio will remember that the Republicans picked Cleveland instead of going to another state. Jobs!",27508,27640
242,Bill Hemmer of @FoxNews was very nice in explaining the excitement and energy in the arena. More than in past years.,27641,27757
243,"Congratulations to my children, Don and Tiffany, on having done a fantastic job last night. I am very proud of you!",27758,27873
244,Such a great honor to be the Republican Nominee for President of the United States. I will work hard and never let you down! AMERICA FIRST!,27874,28013
245,The ROLL CALL is beginning at the Republican National Convention. Very exciting!,28014,28094
