,sentence,start,end
47,"And I support and will work hard to implement what the president has been advocating."" "" On Senator Sanders response this idea that he represents a state which there are lot of gun owners you were a senator",19486,19692
48,You -- arent you sympathetic to that? You said you represented Wall Street and thats what shaped your views on certain Wall Street policy,19933,20070
49,"And you have suggested that as president you would be different than you did as senator when you were representing a state with a constituency.""  Well..",20354,20505
50,""" So why isnt it fair for Bernie Sanders to say as president I would be different than I would as a senator representing a state with a lot of gun owners?""  Well you know I think you have really mixed up two important issues here",20710,20938
51,I have been consistent on gun lobby restrictions,21186,21234
52,In fact I supported the Brady Bill,21594,21628
53,Senator Sanders voted against it five times,21978,22021
54,So there is a very clear difference,22369,22404
55,"""And when it comes to Wall Street yes I represented New York",22743,22803
56,And I was proud to do so,23146,23170
57,And I took on Wall Street,23527,23552
58,Im the person who came out against derivatives,23893,23939
59,"Im the person who came out calling for restrictions on CEO pay which thankfully got into the Dodd- Frank bill."" ""Im the person who went to Wall Street and actually confronted them in 2007",24217,24404
60,I called them out on the role they were playing in the mortgage market,24669,24739
61,"So I do have a history of taking on what I consider to be the abuses that come from any industry including Wall Street."" And I will continue to do so as president",25002,25164
62,And the proposal that I have put forth about how we rein in the excesses of Wall Street so we never again face what we did in 2008 has been judged as being more comprehensive tougher more effective by Barney Frank by Sherrod Brown my friend from Ohio who leads the banking efforts in the Senate and by Paul Krugman,25301,25615
63,So I have plan that will go after not just the big banks because Dodd-Frank has given us the tools to do a lot of that but to go after the so-called shadow banking industry,25751,25923
64, Right,26205,26210
65,""" And I think Im well-prepared",26570,26600
66,I know what needs to be done,26946,26974
67,"Its kind of like Nixon going to China John.""  All right Senator let me ask you about a general election opponent you may face",27276,27400
68,That is Donald Trump,27704,27724
69,You got into a pretty ugly exchange,28083,28118
70,You charged that he -- you charged him with sexism and then he put out an Instagram video of your husband and Monica Lewinsky,28423,28548
71,"Your reaction to that? "" Well if he wants to engage in personal attacks from the past thats his prerogative",28824,28931
72,"You know so be it."" ""Im going to draw the distinctions between where I stand and where he stands when it comes to equal pay for women raising the minimum wage which affects two-thirds of the women who are the ones receiving the minimum wage protecting a womans right to make the most personal health care decisions."" ""Thats why Im so proud to have the endorsement of the Planned Parenthood Action Fund that I received today in New Hampshire because Im going to fight as hard as I can against any efforts to defund Planned Parenthood something that he supports."" ""So there are very clear distinctions",28985,29584
73,He can say whatever he wants to about me,29670,29710
74,Let the voters judge that,30070,30095
75,But I am not going to let him or any of the other Republicans rip away the progress that women have made,30420,30524
76,Its been too hard-fought-for,30836,30864
77,"And Im going to stand up and make it clear theres a huge difference between us."" "" Secretary Clinton what do you say though to those even in your own party who say that -- a discussion of that portion of your husbands career is fair game to talk about in an election?"" "" Well its been fair game going back to the Republicans for some years",31066,31405
78,They can do it again if they want to,31592,31628
79,That can be their choice as to how to run in this campaign,31936,31994
80,Didnt work before,32310,32327
81,"It wont work again because it is what people are focused on not for the past but for the future."" ""What are we going to do to get wages rising? What are we going to do to create more good jobs? What are we going to do keep rights? What are we going to do to make sure that the Supreme Court has people on it who will defend womens rights who will defend marriage equality who will defend voter rights?"" ""So I cant run anybody elses campaign",32463,32903
82,They can say whatever they want,33055,33086
83,More power to them,33458,33476
84,I think its a dead end blind alley for them but let them go,33832,33891
85,Im going to talk about the differences between us because I think thats what Americans care about,34198,34295
86,""" "" Secretary Clinton Im afraid were at a dead end ourselves and out of time",34639,34715
87,"""   Thanks so much for being with us",35097,35131
88,""" Thanks",35513,35521
89,"Lets continue the conversation John.""  See you out there",35903,35958
