,sentence,start,end
45,"These were lengthy planned and prepared remarks – it was perhaps the most explicit attack on the American voter ever spoken by a major-party presidential nominee."" Clinton was using a very deliberate page from the Democratic Playbook – smearing someone with one of those names in order to scare them out of voting for change",19242,19566
46,She just took it to a whole new level by applying it to tens of millions of people,19761,19843
47,She used these vile words in order to bully and intimidate honest citizens out of seeking government reform,20149,20256
48,People who want their immigration laws enforced and their borders secured are not racists,20607,20696
49,They are patriotic Americans of all backgrounds who want their jobs and families protected,21084,21174
50,People who warn about Radical Islamic Terrorism are not Islamophobes,21572,21640
51,They are decent American citizens who want to uphold our tolerant values and keep our country safe,22017,22115
52,People who support the police and who want crime reduced are not prejudiced,22483,22558
53,They are concerned and loving citizens whose hearts break every time an innocent child is lost to preventable violence,22920,23038
54,"""Hillary Clinton doesnt have to worry about Sanctuary Cities or jobs moving overseas",23413,23497
55,"Shes protected from her own policies."" The policies of Hillary Clinton have produced failing schools shrinking incomes and the tragic poverty and joblessness in our inner cities",23854,24031
56,Our campaign is dedicated to changing these policies to make life better for all Americans,24366,24456
57,We are the campaign of school choice,24861,24897
58,We are the campaign dedicated to improving economic conditions for every African-American and Hispanic worker,25291,25400
59,We are the campaign that will deliver a government of by and for the people,25753,25828
60,This change agenda includes a new foreign and military policy,26188,26249
61,We are going to put the failed policies of the past behind us,26585,26646
62,We will empower our generals to do the job they were hired to do – and that begins with defeating and destroying ISIS,26943,27060
63,Instead of endless wars we want a real plan for victory,27364,27419
64,We will abandon the policy of reckless regime change favored by my opponent and we will instead work with our allies to advance the core national security interests of the United States,27718,27903
65,My plan calls for a major rebuilding of the entire military and the elimination of the defense sequester,28194,28298
66,In this rebuilding we will provide our National Guard with the best modern state-of-the-art equipment in the world,28636,28750
67,The National Guard is often the first and the last line of defense for our people,29086,29167
68,You are there when the hurricanes and floods and tornadoes strike,29519,29584
69,You are there to protect civilians in times of unrest,29965,30018
70,You are there to respond to every natural disaster,30384,30434
71,You deserve a government that recognizes and honors your contribution and that ensures you have the resources you need to get the job done,30779,30917
72,In a Trump Administration the National Guard will always have a direct line to the Oval Office,31235,31329
73,You will have an Administration that never loses sight of the vital contribution you make each and every day,31645,31753
74,You will have a President who supports promotes and speaks up for the National Guard at every turn,32066,32164
75,The members of the National Guard have sacrificed life and limb for our freedom our safety and our country,32477,32583
76,"""We will never forget our heroes their families and the ones theyve left behind."" Our gratitude is everlasting",32898,33008
77,We will protect those who protect us,33357,33393
78,And we will follow your example of unity – working in common purpose and common cause,33745,33830
79,We will be one people under one God saluting one American flag,34161,34223
80,We will rebuild our military – and our country,34612,34658
81,We Will Make America Strong Again,35065,35098
82,We Will Make America Safe Again,35505,35536
83,And We Will Make America Great Again,35943,35979
84,Thank you and God Bless you all,36386,36417
